,gbif_column,obis_column,normalized_name,match_type,similarity,differences
113,concentration,concentration,concentration,exact,1.0,none
114,occurrence_source_id,occurrence_source_id,occurrencesourceid,exact,1.0,none
115,adapters,adapters,adapters,exact,1.0,none
116,pathogenicity,pathogenicity,pathogenicity,exact,1.0,none
117,propagation,propagation,propagation,exact,1.0,none
118,trnas,trnas,trnas,exact,1.0,none
119,mid,mid,mid,exact,1.0,none
120,annot,annot,annot,exact,1.0,none
121,url,url,url,exact,1.0,none
122,source_id,source_id,sourceid,exact,1.0,none
123,sop,sop,sop,exact,1.0,none
124,ploidy,ploidy,ploidy,exact,1.0,none
125,data_source,data_source,datasource,exact,1.0,none
0,partitionvolume,partitionVolume,partitionvolume,fuzzy,1.0,GBIF: 'partitionvolume' vs OBIS: 'partitionVolume'
1,quantificationcycle,quantificationCycle,quantificationcycle,fuzzy,1.0,GBIF: 'quantificationcycle' vs OBIS: 'quantificationCycle'
2,complsoftware,compl_software,complsoftware,fuzzy,1.0,GBIF: 'complsoftware' vs OBIS: 'compl_software'
3,complappr,compl_appr,complappr,fuzzy,1.0,GBIF: 'complappr' vs OBIS: 'compl_appr'
4,assemblyqual,assembly_qual,assemblyqual,fuzzy,1.0,GBIF: 'assemblyqual' vs OBIS: 'assembly_qual'
5,ampliconsize,ampliconSize,ampliconsize,fuzzy,1.0,GBIF: 'ampliconsize' vs OBIS: 'ampliconSize'
6,sampvolwednaext,samp_vol_we_dna_ext,sampvolwednaext,fuzzy,1.0,GBIF: 'sampvolwednaext' vs OBIS: 'samp_vol_we_dna_ext'
7,sampmatprocess,samp_mat_process,sampmatprocess,fuzzy,1.0,GBIF: 'sampmatprocess' vs OBIS: 'samp_mat_process'
8,assemblyname,assembly_name,assemblyname,fuzzy,1.0,GBIF: 'assemblyname' vs OBIS: 'assembly_name'
9,refbiomaterial,ref_biomaterial,refbiomaterial,fuzzy,1.0,GBIF: 'refbiomaterial' vs OBIS: 'ref_biomaterial'
10,projectname,project_name,projectname,fuzzy,1.0,GBIF: 'projectname' vs OBIS: 'project_name'
11,isolgrowthcondt,isol_growth_condt,isolgrowthcondt,fuzzy,1.0,GBIF: 'isolgrowthcondt' vs OBIS: 'isol_growth_condt'
12,refdb,ref_db,refdb,fuzzy,1.0,GBIF: 'refdb' vs OBIS: 'ref_db'
13,annealingtempunit,annealingTempUnit,annealingtempunit,fuzzy,1.0,GBIF: 'annealingtempunit' vs OBIS: 'annealingTempUnit'
14,binsoftware,bin_software,binsoftware,fuzzy,1.0,GBIF: 'binsoftware' vs OBIS: 'bin_software'
15,wgaampappr,wga_amp_appr,wgaampappr,fuzzy,1.0,GBIF: 'wgaampappr' vs OBIS: 'wga_amp_appr'
16,automaticbaselinevalue,automaticBaselineValue,automaticbaselinevalue,fuzzy,1.0,GBIF: 'automaticbaselinevalue' vs OBIS: 'automaticBaselineValue'
17,amplificationreactionvolumeunit,amplificationReactionVolumeUnit,amplificationreactionvolumeunit,fuzzy,1.0,GBIF: 'amplificationreactionvolumeunit' vs OBIS: 'amplificationReactionVolumeUnit'
18,featpred,feat_pred,featpred,fuzzy,1.0,GBIF: 'featpred' vs OBIS: 'feat_pred'
19,otudb,otu_db,otudb,fuzzy,1.0,GBIF: 'otudb' vs OBIS: 'otu_db'
20,dnasequence,DNA_sequence,dnasequence,fuzzy,1.0,GBIF: 'dnasequence' vs OBIS: 'DNA_sequence'
21,methoddeterminationconcentrationandratios,methodDeterminationConcentrationAndRatios,methoddeterminationconcentrationandratios,fuzzy,1.0,GBIF: 'methoddeterminationconcentrationandratios' vs OBIS: 'methodDeterminationConcentrationAndRatios'
22,trnaextsoftware,trna_ext_software,trnaextsoftware,fuzzy,1.0,GBIF: 'trnaextsoftware' vs OBIS: 'trna_ext_software'
23,subspecfgenlin,subspecf_gen_lin,subspecfgenlin,fuzzy,1.0,GBIF: 'subspecfgenlin' vs OBIS: 'subspecf_gen_lin'
24,pcrprimers,pcr_primers,pcrprimers,fuzzy,1.0,GBIF: 'pcrprimers' vs OBIS: 'pcr_primers'
25,samptaxonid,samp_taxon_id,samptaxonid,fuzzy,1.0,GBIF: 'samptaxonid' vs OBIS: 'samp_taxon_id'
26,sourcematid,source_mat_id,sourcematid,fuzzy,1.0,GBIF: 'sourcematid' vs OBIS: 'source_mat_id'
27,estimatednumberofcopies,estimatedNumberOfCopies,estimatednumberofcopies,fuzzy,1.0,GBIF: 'estimatednumberofcopies' vs OBIS: 'estimatedNumberOfCopies'
28,probequencher,probeQuencher,probequencher,fuzzy,1.0,GBIF: 'probequencher' vs OBIS: 'probeQuencher'
29,concentrationunit,concentrationUnit,concentrationunit,fuzzy,1.0,GBIF: 'concentrationunit' vs OBIS: 'concentrationUnit'
30,libvector,lib_vector,libvector,fuzzy,1.0,GBIF: 'libvector' vs OBIS: 'lib_vector'
31,contamscreenparam,contam_screen_param,contamscreenparam,fuzzy,1.0,GBIF: 'contamscreenparam' vs OBIS: 'contam_screen_param'
32,otuclassappr,otu_class_appr,otuclassappr,fuzzy,1.0,GBIF: 'otuclassappr' vs OBIS: 'otu_class_appr'
33,pcrprimerloq,pcr_primer_loq,pcrprimerloq,fuzzy,1.0,GBIF: 'pcrprimerloq' vs OBIS: 'pcr_primer_loq'
34,contamscreeninput,contam_screen_input,contamscreeninput,fuzzy,1.0,GBIF: 'contamscreeninput' vs OBIS: 'contam_screen_input'
35,sizefrac,size_frac,sizefrac,fuzzy,1.0,GBIF: 'sizefrac' vs OBIS: 'size_frac'
36,estimatedsize,estimated_size,estimatedsize,fuzzy,1.0,GBIF: 'estimatedsize' vs OBIS: 'estimated_size'
37,targetgene,target_gene,targetgene,fuzzy,1.0,GBIF: 'targetgene' vs OBIS: 'target_gene'
38,binparam,bin_param,binparam,fuzzy,1.0,GBIF: 'binparam' vs OBIS: 'bin_param'
