,gbif_column,obis_column,normalized_name,match_type,similarity,differences
13,data_source,data_source,datasource,exact,1.0,none
14,occurrence_source_id,occurrence_source_id,occurrencesourceid,exact,1.0,none
15,source_id,source_id,sourceid,exact,1.0,none
0,measurementvalue,measurementValue,measurementvalue,fuzzy,1.0,GBIF: 'measurementvalue' vs OBIS: 'measurementValue'
1,measurementaccuracy,measurementAccuracy,measurementaccuracy,fuzzy,1.0,GBIF: 'measurementaccuracy' vs OBIS: 'measurementAccuracy'
2,measurementid,measurementID,measurementid,fuzzy,1.0,GBIF: 'measurementid' vs OBIS: 'measurementID'
3,measurementunitid,measurementUnitID,measurementunitid,fuzzy,1.0,GBIF: 'measurementunitid' vs OBIS: 'measurementUnitID'
4,measurementvalueid,measurementValueID,measurementvalueid,fuzzy,1.0,GBIF: 'measurementvalueid' vs OBIS: 'measurementValueID'
5,measurementtypeid,measurementTypeID,measurementtypeid,fuzzy,1.0,GBIF: 'measurementtypeid' vs OBIS: 'measurementTypeID'
6,measurementmethod,measurementMethod,measurementmethod,fuzzy,1.0,GBIF: 'measurementmethod' vs OBIS: 'measurementMethod'
7,measurementdeterminedby,measurementDeterminedBy,measurementdeterminedby,fuzzy,1.0,GBIF: 'measurementdeterminedby' vs OBIS: 'measurementDeterminedBy'
8,measurementunit,measurementUnit,measurementunit,fuzzy,1.0,GBIF: 'measurementunit' vs OBIS: 'measurementUnit'
9,measurementtype,measurementType,measurementtype,fuzzy,1.0,GBIF: 'measurementtype' vs OBIS: 'measurementType'
10,occurrenceid,occurrenceID,occurrenceid,fuzzy,1.0,GBIF: 'occurrenceid' vs OBIS: 'occurrenceID'
11,measurementdetermineddate,measurementDeterminedDate,measurementdetermineddate,fuzzy,1.0,GBIF: 'measurementdetermineddate' vs OBIS: 'measurementDeterminedDate'
12,measurementremarks,measurementRemarks,measurementremarks,fuzzy,1.0,GBIF: 'measurementremarks' vs OBIS: 'measurementRemarks'
16,datasetkey,,datasetkey,gbif_only,,only in GBIF
17,,_id,id,obis_only,,only in OBIS
18,,id,id,obis_only,,only in OBIS
19,,_event_id,eventid,obis_only,,only in OBIS
20,,level,level,obis_only,,only in OBIS
