,gbif_column,obis_column,normalized_name,match_type,similarity,differences
113,adapters,adapters,adapters,exact,1.0,none
114,mid,mid,mid,exact,1.0,none
115,source_id,source_id,sourceid,exact,1.0,none
116,ploidy,ploidy,ploidy,exact,1.0,none
117,url,url,url,exact,1.0,none
118,annot,annot,annot,exact,1.0,none
119,data_source,data_source,datasource,exact,1.0,none
120,propagation,propagation,propagation,exact,1.0,none
121,sop,sop,sop,exact,1.0,none
122,trnas,trnas,trnas,exact,1.0,none
123,concentration,concentration,concentration,exact,1.0,none
124,occurrence_source_id,occurrence_source_id,occurrencesourceid,exact,1.0,none
125,pathogenicity,pathogenicity,pathogenicity,exact,1.0,none
0,pcrprimerloq,pcr_primer_loq,pcrprimerloq,fuzzy,1.0,GBIF: 'pcrprimerloq' vs OBIS: 'pcr_primer_loq'
1,sampsize,samp_size,sampsize,fuzzy,1.0,GBIF: 'sampsize' vs OBIS: 'samp_size'
2,virusenrichappr,virus_enrich_appr,virusenrichappr,fuzzy,1.0,GBIF: 'virusenrichappr' vs OBIS: 'virus_enrich_appr'
3,sizefrac,size_frac,sizefrac,fuzzy,1.0,GBIF: 'sizefrac' vs OBIS: 'size_frac'
4,binparam,bin_param,binparam,fuzzy,1.0,GBIF: 'binparam' vs OBIS: 'bin_param'
5,assemblysoftware,assembly_software,assemblysoftware,fuzzy,1.0,GBIF: 'assemblysoftware' vs OBIS: 'assembly_software'
6,pcrprimernamereverse,pcr_primer_name_reverse,pcrprimernamereverse,fuzzy,1.0,GBIF: 'pcrprimernamereverse' vs OBIS: 'pcr_primer_name_reverse'
7,sourcematid,source_mat_id,sourcematid,fuzzy,1.0,GBIF: 'sourcematid' vs OBIS: 'source_mat_id'
8,contamscore,contam_score,contamscore,fuzzy,1.0,GBIF: 'contamscore' vs OBIS: 'contam_score'
9,complscore,compl_score,complscore,fuzzy,1.0,GBIF: 'complscore' vs OBIS: 'compl_score'
10,isolgrowthcondt,isol_growth_condt,isolgrowthcondt,fuzzy,1.0,GBIF: 'isolgrowthcondt' vs OBIS: 'isol_growth_condt'
11,binsoftware,bin_software,binsoftware,fuzzy,1.0,GBIF: 'binsoftware' vs OBIS: 'bin_software'
12,singlecelllysisappr,single_cell_lysis_appr,singlecelllysisappr,fuzzy,1.0,GBIF: 'singlecelllysisappr' vs OBIS: 'single_cell_lysis_appr'
13,singlecelllysisprot,single_cell_lysis_prot,singlecelllysisprot,fuzzy,1.0,GBIF: 'singlecelllysisprot' vs OBIS: 'single_cell_lysis_prot'
14,partitionvolume,partitionVolume,partitionvolume,fuzzy,1.0,GBIF: 'partitionvolume' vs OBIS: 'partitionVolume'
15,partitionvolumeunit,partitionVolumeUnit,partitionvolumeunit,fuzzy,1.0,GBIF: 'partitionvolumeunit' vs OBIS: 'partitionVolumeUnit'
16,sorttech,sort_tech,sorttech,fuzzy,1.0,GBIF: 'sorttech' vs OBIS: 'sort_tech'
17,projectname,project_name,projectname,fuzzy,1.0,GBIF: 'projectname' vs OBIS: 'project_name'
18,libvector,lib_vector,libvector,fuzzy,1.0,GBIF: 'libvector' vs OBIS: 'lib_vector'
19,pcranalysissoftware,pcr_analysis_software,pcranalysissoftware,fuzzy,1.0,GBIF: 'pcranalysissoftware' vs OBIS: 'pcr_analysis_software'
20,thresholdquantificationcycle,thresholdQuantificationCycle,thresholdquantificationcycle,fuzzy,1.0,GBIF: 'thresholdquantificationcycle' vs OBIS: 'thresholdQuantificationCycle'
21,amplificationreactionvolume,amplificationReactionVolume,amplificationreactionvolume,fuzzy,1.0,GBIF: 'amplificationreactionvolume' vs OBIS: 'amplificationReactionVolume'
22,targetsubfragment,target_subfragment,targetsubfragment,fuzzy,1.0,GBIF: 'targetsubfragment' vs OBIS: 'target_subfragment'
23,pcrprimernameforward,pcr_primer_name_forward,pcrprimernameforward,fuzzy,1.0,GBIF: 'pcrprimernameforward' vs OBIS: 'pcr_primer_name_forward'
24,hostspecrange,host_spec_range,hostspecrange,fuzzy,1.0,GBIF: 'hostspecrange' vs OBIS: 'host_spec_range'
25,annealingtemp,annealingTemp,annealingtemp,fuzzy,1.0,GBIF: 'annealingtemp' vs OBIS: 'annealingTemp'
26,predgenometype,pred_genome_type,predgenometype,fuzzy,1.0,GBIF: 'predgenometype' vs OBIS: 'pred_genome_type'
27,reltooxygen,rel_to_oxygen,reltooxygen,fuzzy,1.0,GBIF: 'reltooxygen' vs OBIS: 'rel_to_oxygen'
28,sampname,samp_name,sampname,fuzzy,1.0,GBIF: 'sampname' vs OBIS: 'samp_name'
29,methoddeterminationconcentrationandratios,methodDeterminationConcentrationAndRatios,methoddeterminationconcentrationandratios,fuzzy,1.0,GBIF: 'methoddeterminationconcentrationandratios' vs OBIS: 'methodDeterminationConcentrationAndRatios'
30,specifichost,specific_host,specifichost,fuzzy,1.0,GBIF: 'specifichost' vs OBIS: 'specific_host'
31,numreplicons,num_replicons,numreplicons,fuzzy,1.0,GBIF: 'numreplicons' vs OBIS: 'num_replicons'
32,pcrcond,pcr_cond,pcrcond,fuzzy,1.0,GBIF: 'pcrcond' vs OBIS: 'pcr_cond'
33,nuclacidamp,nucl_acid_amp,nuclacidamp,fuzzy,1.0,GBIF: 'nuclacidamp' vs OBIS: 'nucl_acid_amp'
34,detectype,detec_type,detectype,fuzzy,1.0,GBIF: 'detectype' vs OBIS: 'detec_type'
35,contaminationassessment,contaminationAssessment,contaminationassessment,fuzzy,1.0,GBIF: 'contaminationassessment' vs OBIS: 'contaminationAssessment'
36,targetgene,target_gene,targetgene,fuzzy,1.0,GBIF: 'targetgene' vs OBIS: 'target_gene'
37,probequencher,probeQuencher,probequencher,fuzzy,1.0,GBIF: 'probequencher' vs OBIS: 'probeQuencher'
38,refdb,ref_db,refdb,fuzzy,1.0,GBIF: 'refdb' vs OBIS: 'ref_db'
39,libscreen,lib_screen,libscreen,fuzzy,1.0,GBIF: 'libscreen' vs OBIS: 'lib_screen'
40,baselinevalue,baselineValue,baselinevalue,fuzzy,1.0,GBIF: 'baselinevalue' vs OBIS: 'baselineValue'
41,hostdiseasestat,host_disease_stat,hostdiseasestat,fuzzy,1.0,GBIF: 'hostdiseasestat' vs OBIS: 'host_disease_stat'
42,complappr,compl_appr,complappr,fuzzy,1.0,GBIF: 'complappr' vs OBIS: 'compl_appr'
43,libsize,lib_size,libsize,fuzzy,1.0,GBIF: 'libsize' vs OBIS: 'lib_size'
44,assemblyqual,assembly_qual,assemblyqual,fuzzy,1.0,GBIF: 'assemblyqual' vs OBIS: 'assembly_qual'
45,ratioofabsorbance260280,ratioOfAbsorbance260_280,ratioofabsorbance260280,fuzzy,1.0,GBIF: 'ratioofabsorbance260280' vs OBIS: 'ratioOfAbsorbance260_280'
46,concentrationunit,concentrationUnit,concentrationunit,fuzzy,1.0,GBIF: 'concentrationunit' vs OBIS: 'concentrationUnit'
47,predgenomestruc,pred_genome_struc,predgenomestruc,fuzzy,1.0,GBIF: 'predgenomestruc' vs OBIS: 'pred_genome_struc'
48,liblayout,lib_layout,liblayout,fuzzy,1.0,GBIF: 'liblayout' vs OBIS: 'lib_layout'
49,otuclassappr,otu_class_appr,otuclassappr,fuzzy,1.0,GBIF: 'otuclassappr' vs OBIS: 'otu_class_appr'
50,sampmatprocess,samp_mat_process,sampmatprocess,fuzzy,1.0,GBIF: 'sampmatprocess' vs OBIS: 'samp_mat_process'
51,occurrenceid,occurrenceID,occurrenceid,fuzzy,1.0,GBIF: 'occurrenceid' vs OBIS: 'occurrenceID'
52,experimentalfactor,experimental_factor,experimentalfactor,fuzzy,1.0,GBIF: 'experimentalfactor' vs OBIS: 'experimental_factor'
53,amplificationreactionvolumeunit,amplificationReactionVolumeUnit,amplificationreactionvolumeunit,fuzzy,1.0,GBIF: 'amplificationreactionvolumeunit' vs OBIS: 'amplificationReactionVolumeUnit'
54,wgaampappr,wga_amp_appr,wgaampappr,fuzzy,1.0,GBIF: 'wgaampappr' vs OBIS: 'wga_amp_appr'
55,bioticrelationship,biotic_relationship,bioticrelationship,fuzzy,1.0,GBIF: 'bioticrelationship' vs OBIS: 'biotic_relationship'
56,quantificationcycle,quantificationCycle,quantificationcycle,fuzzy,1.0,GBIF: 'quantificationcycle' vs OBIS: 'quantificationCycle'
57,seqqualitycheck,seq_quality_check,seqqualitycheck,fuzzy,1.0,GBIF: 'seqqualitycheck' vs OBIS: 'seq_quality_check'
58,sampcollecdevice,samp_collec_device,sampcollecdevice,fuzzy,1.0,GBIF: 'sampcollecdevice' vs OBIS: 'samp_collec_device'
59,experimentalvariance,experimentalVariance,experimentalvariance,fuzzy,1.0,GBIF: 'experimentalvariance' vs OBIS: 'experimentalVariance'
60,dnasequence,DNA_sequence,dnasequence,fuzzy,1.0,GBIF: 'dnasequence' vs OBIS: 'DNA_sequence'
61,pcrprimerlod,pcr_primer_lod,pcrprimerlod,fuzzy,1.0,GBIF: 'pcrprimerlod' vs OBIS: 'pcr_primer_lod'
62,extrachromelements,extrachrom_elements,extrachromelements,fuzzy,1.0,GBIF: 'extrachromelements' vs OBIS: 'extrachrom_elements'
63,featpred,feat_pred,featpred,fuzzy,1.0,GBIF: 'featpred' vs OBIS: 'feat_pred'
64,envbroadscale,env_broad_scale,envbroadscale,fuzzy,1.0,GBIF: 'envbroadscale' vs OBIS: 'env_broad_scale'
65,sampvolwednaext,samp_vol_we_dna_ext,sampvolwednaext,fuzzy,1.0,GBIF: 'sampvolwednaext' vs OBIS: 'samp_vol_we_dna_ext'
66,contamscreeninput,contam_screen_input,contamscreeninput,fuzzy,1.0,GBIF: 'contamscreeninput' vs OBIS: 'contam_screen_input'
67,magcovsoftware,mag_cov_software,magcovsoftware,fuzzy,1.0,GBIF: 'magcovsoftware' vs OBIS: 'mag_cov_software'
68,estimatednumberofcopies,estimatedNumberOfCopies,estimatednumberofcopies,fuzzy,1.0,GBIF: 'estimatednumberofcopies' vs OBIS: 'estimatedNumberOfCopies'
69,assemblyname,assembly_name,assemblyname,fuzzy,1.0,GBIF: 'assemblyname' vs OBIS: 'assembly_name'
70,pcrprimerreverse,pcr_primer_reverse,pcrprimerreverse,fuzzy,1.0,GBIF: 'pcrprimerreverse' vs OBIS: 'pcr_primer_reverse'
71,pcrprimerreference,pcr_primer_reference,pcrprimerreference,fuzzy,1.0,GBIF: 'pcrprimerreference' vs OBIS: 'pcr_primer_reference'
72,hostpredappr,host_pred_appr,hostpredappr,fuzzy,1.0,GBIF: 'hostpredappr' vs OBIS: 'host_pred_appr'
73,reassemblybin,reassembly_bin,reassemblybin,fuzzy,1.0,GBIF: 'reassemblybin' vs OBIS: 'reassembly_bin'
74,chimeracheck,chimera_check,chimeracheck,fuzzy,1.0,GBIF: 'chimeracheck' vs OBIS: 'chimera_check'
75,trophiclevel,trophic_level,trophiclevel,fuzzy,1.0,GBIF: 'trophiclevel' vs OBIS: 'trophic_level'
76,sourceuvig,source_uvig,sourceuvig,fuzzy,1.0,GBIF: 'sourceuvig' vs OBIS: 'source_uvig'
77,pcrprimerforward,pcr_primer_forward,pcrprimerforward,fuzzy,1.0,GBIF: 'pcrprimerforward' vs OBIS: 'pcr_primer_forward'
78,taxident,tax_ident,taxident,fuzzy,1.0,GBIF: 'taxident' vs OBIS: 'tax_ident'
79,pcrprimers,pcr_primers,pcrprimers,fuzzy,1.0,GBIF: 'pcrprimers' vs OBIS: 'pcr_primers'
80,taxclass,tax_class,taxclass,fuzzy,1.0,GBIF: 'taxclass' vs OBIS: 'tax_class'
